,price,city,region,surface,rooms,bathrooms,etat_age,garden,parking,pool,beach_view,mountain_view,central_heating,air_conditioning,elevator
0,490000.0,ariana,chotrana 1,141.0,3,2,bon etat,Yes,Yes,No,No,No,No,No,No
1,380000.0,ariana,chotrana 1,100.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
2,180000.0,manouba,manouba ville,130.0,3,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
3,240000.0,tunis,gammarth,120.0,2,1,new,No,No,No,No,No,No,No,No
4,365000.0,ariana,ennasr 2,148.0,3,2,bon etat,No,Yes,No,No,No,No,No,Yes
5,410000.0,ariana,ghazela,180.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
6,185000.0,ariana,ghazela,70.0,2,1,new,No,No,No,No,No,No,No,No
7,350000.0,tunis,gammarth,70.0,2,1,new,No,No,No,No,No,No,No,No
8,250000.0,tunis,gammarth,103.0,1,1,bon etat,No,No,No,No,No,Yes,Yes,No
9,375000.0,ben arous,boumhel,152.0,3,2,renovated,No,Yes,No,No,No,Yes,No,Yes
10,215000.0,ariana,jardins menzah 1,77.0,1,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
11,255000.0,ariana,soukra,90.0,3,1,new,No,No,No,No,No,Yes,Yes,Yes
12,125000.0,ben arous,megrine,117.0,2,1,bon etat,No,No,No,No,No,No,No,No
13,200000.0,ben arous,megrine,75.0,2,1,bon etat,No,No,No,No,No,No,No,No
15,650000.0,tunis,lac 1,208.0,4,3,bon etat,No,No,No,No,No,Yes,Yes,No
16,270000.0,ben arous,medina jedida,122.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
17,120000.0,ariana,ariana,54.0,2,1,new,No,Yes,No,No,No,No,No,Yes
18,325000.0,ariana,ghazela,167.0,3,1,renovate,No,Yes,No,No,No,Yes,Yes,No
19,700000.0,tunis,jardins de carthage,199.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
20,241566.0,ben arous,boumhel,63.25,1,1,bon etat,Yes,Yes,No,No,No,Yes,No,No
21,316000.0,ariana,ghazela,104.0,1,1,new,Yes,Yes,No,No,No,Yes,Yes,No
22,275000.0,ariana,chotrana 1,125.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
23,143000.0,tunis,agba,95.0,4,1,bon etat,No,No,No,No,No,No,No,No
24,256457.0,ariana,chotrana 2,61.0,2,1,new,No,Yes,No,No,No,Yes,Yes,No
25,304607.0,ariana,chotrana 2,74.0,1,1,bon etat,No,Yes,No,No,No,Yes,No,No
26,220000.0,tunis,aouina,86.0,2,1,bon etat,No,No,No,No,No,No,No,No
27,345000.0,ariana,ennasr 2,160.0,4,2,bon etat,No,No,No,No,No,Yes,No,No
28,380000.0,ariana,chotrana 1,100.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
29,450000.0,tunis,marsa,160.0,3,2,bon etat,No,No,No,No,No,Yes,No,No
30,148000.0,ariana,ghazela,98.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
31,330000.0,ben arous,megrine,100.0,3,2,bon etat,No,Yes,No,No,No,No,No,No
32,310000.0,ariana,menzah 6,100.0,2,2,bon etat,No,No,No,No,No,Yes,No,Yes
33,350000.0,ariana,soukra,140.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
34,550000.0,tunis,la goulette,144.0,3,2,bon etat,No,No,No,No,No,No,Yes,Yes
35,700000.0,ariana,chotrana 1,147.8,3,2,bon etat,Yes,No,No,No,No,No,No,No
36,195000.0,tunis,aouina,61.0,1,1,bon etat,No,No,No,No,No,Yes,Yes,No
37,154999.0,ben arous,rades,105.0,3,1,bon etat,Yes,Yes,No,No,No,No,No,No
38,180000.0,tunis,monfleury,97.0,4,1,renovated,No,No,No,No,No,Yes,No,No
39,330000.0,ariana,chotrana 1,89.5,1,1,bon etat,Yes,Yes,No,No,No,Yes,Yes,No
41,135000.0,ben arous,hammam lif,70.0,2,1,bon etat,No,No,No,No,No,No,No,Yes
42,275000.0,tunis,aouina,94.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
43,320000.0,tunis,aouina,140.0,3,1,bon etat,No,No,No,No,No,Yes,Yes,Yes
44,169000.0,tunis,aouina,45.0,1,1,new,No,No,No,No,No,Yes,No,Yes
45,480000.0,tunis,jardins de carthage,105.0,2,2,bon etat,No,No,No,No,No,Yes,Yes,Yes
46,345000.0,tunis,ain zaghouan,118.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
47,365000.0,tunis,aouina,150.0,3,2,renovated,No,Yes,No,No,No,No,No,Yes
48,169000.0,tunis,aouina,48.0,1,1,new,No,No,No,No,No,Yes,No,Yes
49,175000.0,tunis,ain zaghouan,60.0,1,1,new,No,No,No,No,No,Yes,Yes,Yes
50,285000.0,tunis,lafayette,154.0,4,2,bon état,No,No,No,No,No,Yes,No,Yes
51,280000.0,tunis,ain zaghouan,110.0,2,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
52,580000.0,tunis,gammarth,340.0,3,2,bon etat,No,No,No,Yes,Yes,Yes,Yes,No
53,170000.0,tunis,aouina,40.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
54,550000.0,tunis,jardins de carthage,152.0,5,1,bon etat,No,No,No,No,No,Yes,Yes,Yes
55,320000.0,tunis,ain zaghouan,105.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
56,180000.0,tunis,aouina,60.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
57,229000.0,tunis,aouina,81.0,2,1,new,No,No,No,No,No,Yes,No,Yes
58,195000.0,tunis,aouina,58.0,2,1,new,No,No,No,No,No,Yes,No,No
59,165000.0,tunis,aouina,42.0,2,1,bon etat,No,No,No,No,No,Yes,No,No
60,750000.0,ben arous,mornag,420.0,7,3,bon etat,No,Yes,No,No,No,Yes,No,No
61,215000.0,ben arous,medina jedida,90.0,2,1,bon etat,No,Yes,No,No,No,Yes,Yes,No
62,240000.0,tunis,aouina,112.0,2,1,bon etat,No,No,No,No,No,No,No,No
63,340000.0,tunis,aouina,156.0,3,1,new,No,No,No,No,No,No,No,Yes
64,320000.0,ben arous,medina jedida,161.0,3,2,bon etat,No,Yes,No,No,No,No,Yes,No
65,295000.0,tunis,aouina,143.0,3,1,bon etat,No,No,No,No,No,No,No,No
66,320000.0,tunis,aouina,129.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
67,188000.0,tunis,aouina,60.0,1,1,new,No,Yes,No,No,No,Yes,Yes,No
68,365000.0,tunis,aouina,143.0,3,1,bon etat,No,Yes,No,No,No,No,No,No
69,180000.0,tunis,aouina,70.0,1,1,new,No,No,No,No,No,Yes,Yes,No
70,370000.0,tunis,lac 2,68.0,2,1,bon etat,No,No,No,No,No,Yes,Yes,No
71,189000.0,tunis,aouina,68.0,1,1,new,No,No,No,No,No,Yes,No,No
72,250000.0,tunis,lafayette,100.0,4,1,bon état,No,Yes,No,No,No,No,No,Yes
73,195000.0,tunis,aouina,65.0,3,1,new,No,No,No,No,No,Yes,No,Yes
74,350000.0,tunis,aouina,135.0,3,2,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
75,268000.0,ariana,borj louzir,78.0,2,2,new,No,Yes,No,No,No,Yes,Yes,Yes
76,415000.0,tunis,aouina,175.0,3,2,new,No,Yes,No,No,No,Yes,Yes,Yes
77,255000.0,tunis,aouina,113.0,2,1,new,No,Yes,No,No,No,Yes,Yes,Yes
78,450000.0,tunis,aouina,195.0,4,2,bon etat,No,Yes,No,No,No,Yes,Yes,No
79,170000.0,tunis,aouina,45.0,1,1,bon etat,No,No,No,No,No,Yes,Yes,Yes
80,265000.0,tunis,aouina,84.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
81,270000.0,tunis,aouina,132.0,3,2,bon etat,No,No,No,No,No,Yes,Yes,No
82,190000.0,tunis,aouina,62.0,1,1,bon etat,No,Yes,No,No,No,Yes,Yes,Yes
83,215000.0,tunis,aouina,77.0,2,1,bon etat,No,No,No,No,No,Yes,No,Yes
84,306000.0,tunis,aouina,158.0,3,2,bon etat,No,Yes,No,No,No,Yes,No,No
85,420000.0,tunis,aouina,124.0,3,3,bon etat,No,Yes,No,No,No,Yes,Yes,No
86,95000.0,tunis,tunis,51.0,2,1,partially renovated,No,No,No,No,No,Yes,No,No
87,220000.0,ariana,riadh andalous,130.0,3,2,bon etat,No,No,No,No,No,Yes,Yes,No
