price,transaction,title,city,region,description,surface,bathrooms,rooms
490000.0,sale,S+3 avec jardin à chotrana 1 ,ariana,chotrana 1,"Cet appartement est situé au rez-de-chaussée d'une résidence sécurisée. Un jardin arboré et bien entretenu enveloppe l'espace extérieur. L'entrée donne sur la pièce de vie qui est lumineuse graçe à un baie-vitrée qui donne un accès sur le jardin. La cuisine est équipée d'une plaque de cuisson, d’une hotte aspirante et d’un four électrique. Elle est aménagée avec plusieurs éléments de rangement pour plus de fonctionnalité et annexée par un séchoir. La partie nuit est séparée de la partie jour est dispose de trois chambres à coucher dont une suite parentale qui bénéficie de sa propre salle de douche et de son dressing. Une salle d'eau a été pensée pour les invitées. Deux places de parking et un cellier sont disponibles au sous sol. ",141,3.0,3
380000.0,sale,un s+2 à chotrana 1,ariana,chotrana 1,"Cet appartement est situé à chotrana 1 dans un quartier résidentiel et calme. Il occupe le rez-de-chaussée d'une résidence érigée sur deux niveaux. L'entrée donne sur une pièce à vivre aéré et lumineuse grâce à ses baies vitrées. Dans la continuité, la cuisine est équipée et aménagée par des éléments de rangement. Elle donne accès au séchoir. La partie nuit loge deux chambres à coucher avec leur propre dressing. Elles se partagent une salle de bain commune. L'appartement est équipé de chauffage central et de la climatisation en split système. Une place de parking au sous-sol est incluse dans le prix du vente.",100,1.0,2
180000.0,sale,S+3 en vente,manouba,manouba ville,"Cet appartement se situe à Dyar ben Mahmoud Agba, au rez-de-chaussée d'une résidence sécurisée sur trois étages, implantée dans un quartier résidentiel calme et bien entretenu. À votre arrivée, vous découvrirez un salon spacieux, éclairé par une fenêtre généreuse. La cuisine est équipée de placards, d'une plaque de cuisson et d'une hotte, avec un séchoir attenant offrant des espaces de rangement pratiques et une fenêtre. Du côté nuit, trois chambres à coucher sont disponibles, dont une avec dressing, offrant un espace confortable pour une vie familiale harmonieuse. Une terrasse spacieuse vous invite à profiter des soirées à l'extérieur. Enfin, un abri voiture est à votre disposition, ajoutant une touche pratique à cette propriété accueillante. Climatisation et chauffage central à disposition.",130,1.0,4
240000.0,sale,Charmant S+2 avec grande terrasse à vendre,tunis,gammarth,"À vendre : Appartement S+2 avec une grande terrasse, offrant un espace extérieur idéal pour se détendre. Situé au 1er étage d'un immeuble privé Pour plus d'informations ou pour organiser une visite, n'hésitez pas à nous contacter : Afficher le numéro",120,1.0,1
365000.0,sale,appartement s3 ennaser bon prix ,ariana,ennasr 2,"a vendre a ennaser un appartement s3 au 5éme étage double ascenseur se compose d'un salon,trois chambre a coucher ,salle de bain ,salle d'eau et cuisine place parking sous sole accès vers le terrasse surface : 148m² prix de vente : 365 MD pour plus d'informations : Afficher le numéro/ Afficher le numéro ",148,2.0,03
410000.0,sale,S+3 neuf jamais habité à vendre ,ariana,ghazela,"Découvrez notre logement confortable de Haut Standing, une occasion unique pour réaliser votre rêve. Situé près de toutes les commodités Résidence Aziz à Cité La Gazelle , Raoued Appartement S+3 : Spacieux appartement de 180 m² avec trois chambres à coucher, dont une suite parentale, un salon, une cuisine, deux salles de bain Pour votre confort, nous proposons celliers et places de parking souterrain. Prix 410 000 N'hésitez pas à nous contacter pour plus d'informations. ☎️ Afficher le numéro ✅ nous somme disponible sur WhatsApp ",180,2.0,3
185000.0,sale,s+1 neuf jamais habité à vendre ,ariana,ghazela,"Découvrez notre logement confortable de Haut Standing, une occasion unique pour réaliser votre rêve. Situé près de toutes les commodités Résidence Aziz à Cité La Gazelle , Raoued Appartement S+1 : Magnifique appartement de 70 m² comprenant une chambre à coucher, un salon, une salle de bain, une cuisine américaine et un balcon avec une terrasse de 90 m². Prix 185.000 N'hésitez pas à nous contacter pour plus d'informations. ☎️ Afficher le numéro ✅ nous somme disponible sur WhatsApp",70,1.0,1
350000.0,sale,immeuble en vente ,tunis,gammarth,"Cet immeuble, situé à Gammarth Cité El Habib, s'étend sur un terrain de 70 m² et propose une distribution optimale de ses espaces. Au rez-de-chaussée, vous trouverez un appartement de type S+2, comprenant deux chambres à coucher, dont une avec placards intégrés, une cuisine entièrement aménagée et équipée de tous les équipements nécessaires, ainsi qu'une salle d'eau. Le premier étage offre un appartement spacieux de type S+1. Quant au deuxième étage, il abrite un appartement de type S+2, offrant une option de logement plus compacte, avec un accès direct au toit. Enfin, la terrasse aménagée sur le toit de l'immeuble offre une vue imprenable sur les environs, ajoutant une touche de charme supplémentaire à cette propriété",70,3.0,5
250000.0,sale,appartement s+1 a gammarth supérieur ,tunis,gammarth,"Cet appartement occup le rez-de-chaussée d'une résidence sécurisée et gardée à Gammarth supérieur. La pièce de vie est équipée d'un salon lumineux, grâce à son revêtement en marbre blanc, qui apporte une touche d'élégance. La cuisine est agencée et entièrement équipée d'une plaque de cuisson, d'une hotte aspirante et d'un four électrique. Elle s'ouvre sur un séchoir. La partie nuit abrite une chambre à coucher et une salle de bain. L’appartement est équipé d'un chauffage central et d’une climatisation à Split système",103,2.0,1
375000.0,sale,A vendre magnifique Duplex boumhel,ben arous,boumhel,"Vous êtes à la recherche d’un Appartement Duplex S3 dans une petite résidence R3 ? FRATELLIMMO vous propose un grand appartement Duplex de type S 3 avec 152m2 basé à BOUMHEL à proximité de moyens de transport école collège lycée centre commercial etc. Situé au troisième étage dans une résidence haut standing bien entretenue et sécurisée avec ascenseur , cet appartement à vendre comprend un salon , cuisine ( rénovée en très haut standing ) , salle de bain , deux chambres à coucher et une suite parentale ( chauffé / climatisé ). Un parking sous sol est réservé / TF en règle. N’hésitez pas à prendre rendez-vous pour visiter ce logement et faire l’état des lieux",152,2.0,3
