surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
131.0,El Aouina,3.0,2.0,1,0,0,0,1,1,1,290000.0
70.0,Ain Zaghouan,2.0,1.0,0,0,0,0,1,1,1,245000.0
134.0,El Aouina,3.0,2.0,0,0,0,0,1,1,1,340000.0
124.0,El Aouina,3.0,2.0,1,0,0,0,0,1,1,320000.0
120.0,El Ouerdia,3.0,2.0,1,0,0,0,0,0,0,185000.0
108.0,El Aouina,2.0,1.0,1,0,0,0,1,1,1,280000.0
62.0,Bab Bhar,2.0,1.0,0,0,0,0,0,0,0,160000.0
132.0,El Menzah 9,2.0,2.0,1,1,0,1,1,1,1,460000.0
69.0,Ain Zaghouan,3.0,1.0,0,0,0,0,1,1,1,253000.0
85.0,Ain Zaghouan,1.0,1.0,1,0,0,0,1,1,0,395000.0
70.0,Jardins de Carthage,2.0,1.0,0,0,0,0,1,1,0,320000.0
106.0,El Aouina,2.0,1.0,1,0,0,0,1,1,0,175000.0
43.0,Ain Zaghouan,1.0,1.0,0,1,0,1,0,0,0,250000.0
136.0,El Aouina,4.0,2.0,1,0,0,0,1,1,1,390000.0
194.0,El Aouina,4.0,2.0,1,0,0,1,1,1,0,550000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,0,0,1,285000.0
136.0,Ain Zaghouan,4.0,2.0,1,0,0,0,1,1,0,408000.0
95.0,Borj Louzir,4.0,1.0,1,0,0,0,0,0,0,140000.0
220.0,Ain Zaghouan,5.0,2.0,1,0,0,0,1,1,0,700000.0
116.0,Cite Ennasr 1,3.0,1.0,1,0,0,0,1,1,1,320000.0
131.0,El Aouina,3.0,2.0,0,0,0,0,1,1,1,289000.0
160.0,La Soukra,3.0,1.0,1,0,0,1,0,1,0,549000.0
120.0,Mutuelle Ville,3.0,2.0,0,0,0,1,0,1,1,250000.0
100.0,Cite Bhar Lazreg,2.0,1.0,0,0,0,0,0,0,0,120000.0
61.0,Ain Zaghouan,1.0,1.0,0,0,0,0,1,1,1,180000.0
100.0,Cite Bhar Lazreg,2.0,1.0,0,0,0,0,0,0,0,100000.0
58.0,El Aouina,2.0,1.0,0,0,0,0,1,1,1,175000.0
114.0,Cite El Ghazala 1,3.0,2.0,1,0,0,0,0,1,1,275000.0
90.0,El Manar 1,4.0,1.0,1,0,0,0,0,1,1,232000.0
78.0,Cite Ennasr 1,2.0,1.0,1,0,0,0,1,1,1,250000.0
67.0,La Soukra,1.0,1.0,1,0,0,0,1,1,1,230000.0
220.0,El Menzah 9,3.0,2.0,1,0,0,0,1,1,1,638000.0
115.0,El Menzah 7,3.0,2.0,1,0,0,0,1,1,1,290000.0
126.0,Borj Louzir,3.0,2.0,1,0,0,0,0,1,0,200000.0
40.0,El Manar 1,1.0,1.0,0,0,0,0,0,0,0,137000.0
46.0,El Manar 1,1.0,1.0,0,0,0,0,0,0,0,65000.0
139.0,Ain Zaghouan,3.0,2.0,1,0,0,1,0,0,0,585000.0
120.0,Cite Du Stade,2.0,1.0,1,0,0,0,1,1,0,480000.0
150.0,Cite Ennasr 2,3.0,2.0,0,0,0,0,0,1,1,295000.0
61.0,El Aouina,1.0,1.0,0,0,0,0,1,1,0,235000.0
120.0,Jardins de Carthage,2.0,1.0,1,0,0,0,0,1,1,530000.0
130.0,La Mannouba,3.0,1.0,0,0,0,0,0,1,0,280000.0
126.0,Ain Zaghouan,3.0,2.0,1,0,0,0,0,1,1,290000.0
63.0,Ain Zaghouan,2.0,1.0,0,1,0,1,0,1,1,340000.0
188.0,Berge Du Lac,3.0,3.0,1,0,1,0,1,1,1,1000000.0
175.0,Jardins de Carthage,3.0,2.0,1,0,0,0,1,1,1,990000.0
90.0,El Menzah 7,3.0,2.0,0,0,0,0,1,1,0,212000.0
118.0,La Soukra,3.0,1.0,1,0,0,0,0,1,0,280000.0
134.0,Cite Erriadh,2.0,2.0,1,0,0,0,1,1,1,495000.0
90.0,La Soukra,1.0,1.0,1,0,0,0,1,1,1,340000.0
160.0,El Menzah 9,3.0,3.0,1,1,0,0,1,1,1,540000.0
160.0,Cite Ennasr 2,3.0,2.0,0,0,0,0,1,1,1,330000.0
105.0,Ariana,3.0,1.0,1,0,0,0,0,1,0,195000.0
140.0,El Aouina,3.0,1.0,1,0,0,0,0,1,1,255000.0
100.0,Cite Bhar Lazreg,1.0,1.0,0,0,0,0,0,0,0,90000.0
240.0,El Menzah 8,4.0,3.0,1,0,0,0,0,1,1,580000.0
56.0,Chotrana 1,2.0,1.0,0,0,0,1,1,1,1,280000.0
58.0,El Aouina,2.0,1.0,0,0,0,0,0,0,0,175000.0
126.0,El Menzah 9,4.0,2.0,1,0,0,0,1,1,1,345000.0
70.0,Jaafar 1,2.0,1.0,0,0,0,0,0,1,0,110000.0
57.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,175000.0
170.0,El Menzah 8,3.0,3.0,1,0,0,0,1,1,1,400000.0
45.0,La Soukra,0.0,1.0,0,0,0,0,0,1,0,120000.0
157.0,Zone urbaine nord,3.0,2.0,1,0,0,0,1,1,1,590000.0
140.0,Borj Louzir,3.0,1.0,0,0,0,0,0,0,0,132000.0
186.0,Cite Ennasr 2,3.0,1.0,1,0,0,0,0,1,1,690000.0
111.0,El Ouerdia,3.0,2.0,1,0,0,0,0,0,0,180000.0
99.0,Cite Ennour Jaafar,3.0,1.0,0,0,0,0,0,1,1,150000.0
100.0,El Menzah 4,3.0,2.0,0,0,0,0,0,0,0,240000.0
126.0,Borj Louzir,3.0,1.0,0,0,0,0,0,0,0,160000.0
120.0,Cite Ennasr 2,2.0,1.0,1,0,0,0,0,0,0,220000.0
107.0,Cite Ennasr 2,2.0,1.0,1,0,0,0,1,1,0,340000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,1,1,1,265000.0
160.0,El Manar 1,3.0,2.0,0,0,0,0,1,1,0,250000.0
176.0,Jardins de Carthage,3.0,2.0,1,0,0,0,1,1,1,900000.0
143.0,La Soukra,3.0,2.0,1,0,0,0,1,1,1,395000.0
