category,room_count,bathroom_count,size,type,price,city,region
Appartements,2.0,2.0,113.0,À Vendre,170000.0,2,28
Appartements,3.0,2.0,138.0,À Vendre,340000.0,2,52
Appartements,2.0,1.0,80.0,À Vendre,230000.0,2,31
Appartements,4.0,2.0,200.0,À Vendre,440000.0,2,31
Appartements,2.0,1.0,89.0,À Vendre,136000.0,2,83
Appartements,2.0,1.0,94.0,À Vendre,185000.0,2,16
Appartements,1.0,1.0,79.0,À Vendre,146150.0,2,32
Appartements,3.0,1.0,157.0,À Vendre,340000.0,2,31
Appartements,2.0,1.0,105.0,À Vendre,225000.0,2,16
Appartements,3.0,1.0,130.0,À Vendre,320000.0,2,31
Appartements,2.0,1.0,120.0,À Vendre,270000.0,2,31
Appartements,3.0,2.0,100.0,À Vendre,170000.0,2,83
Appartements,2.0,1.0,74.0,À Vendre,180000.0,2,31
Appartements,2.0,1.0,90.0,À Vendre,205000.0,2,72
Appartements,3.0,2.0,151.0,À Vendre,225000.0,2,52
Appartements,4.0,2.0,145.0,À Vendre,410000.0,2,31
Appartements,4.0,1.0,126.0,À Vendre,250000.0,2,31
Appartements,2.0,1.0,105.0,À Vendre,230000.0,2,52
Appartements,3.0,1.0,163.0,À Vendre,340000.0,2,83
Appartements,3.0,1.0,76.0,À Vendre,115000.0,2,78
Appartements,2.0,2.0,130.0,À Vendre,280000.0,2,52
Appartements,4.0,3.0,370.0,À Vendre,1100000.0,2,16
Appartements,3.0,2.0,143.0,À Vendre,360000.0,2,16
Appartements,4.0,2.0,200.0,À Vendre,360000.0,2,31
Appartements,3.0,1.0,150.0,À Vendre,350000.0,2,31
Appartements,2.0,1.0,130.0,À Vendre,300000.0,2,31
Appartements,1.0,1.0,56.0,À Vendre,158000.0,2,52
Appartements,2.0,2.0,136.0,À Vendre,300000.0,2,31
Appartements,3.0,2.0,140.0,À Vendre,275000.0,2,52
Appartements,3.0,1.0,110.0,À Vendre,150000.0,2,45
Appartements,2.0,1.0,100.0,À Vendre,230000.0,2,52
Appartements,2.0,1.0,120.0,À Vendre,240000.0,2,31
Appartements,3.0,1.0,165.0,À Vendre,105000.0,2,52
Appartements,2.0,1.0,126.0,À Vendre,330000.0,2,31
Appartements,3.0,3.0,278.0,À Vendre,750000.0,2,16
Appartements,2.0,2.0,186.0,À Vendre,470000.0,2,16
Appartements,3.0,3.0,188.0,À Vendre,650000.0,2,16
Appartements,1.0,1.0,87.0,À Vendre,243000.0,2,31
Appartements,3.0,3.0,165.0,À Vendre,650000.0,2,16
Appartements,4.0,2.0,130.0,À Vendre,285000.0,2,52
Appartements,1.0,1.0,60.0,À Vendre,180000.0,2,31
Appartements,1.0,1.0,75.0,À Vendre,190000.0,2,31
Appartements,3.0,2.0,138.0,À Vendre,295000.0,2,28
Appartements,1.0,1.0,72.0,À Vendre,160000.0,2,78
Appartements,2.0,1.0,62.0,À Vendre,109000.0,2,78
Appartements,3.0,1.0,85.0,À Vendre,150000.0,2,83
Appartements,2.0,1.0,52.0,À Vendre,85000.0,2,72
Appartements,3.0,2.0,120.0,À Vendre,245000.0,2,72
Appartements,3.0,2.0,153.0,À Vendre,339000.0,2,72
Appartements,2.0,1.0,115.0,À Vendre,168000.0,2,32
Appartements,3.0,1.0,100.0,À Vendre,125000.0,2,45
Appartements,2.0,1.0,70.0,À Vendre,230000.0,2,72
Appartements,3.0,2.0,125.0,À Vendre,210000.0,2,32
Appartements,4.0,2.0,157.0,À Vendre,441000.0,2,31
Appartements,3.0,2.0,187.0,À Vendre,570000.0,2,16
Appartements,1.0,1.0,57.0,À Vendre,145000.0,2,52
Appartements,2.0,2.0,126.0,À Vendre,330000.0,2,52
Appartements,3.0,2.0,163.0,À Vendre,340000.0,2,31
Appartements,2.0,1.0,105.0,À Vendre,220000.0,2,31
Appartements,4.0,1.0,153.0,À Vendre,360000.0,2,72
Appartements,2.0,1.0,120.0,À Vendre,230000.0,2,52
Appartements,2.0,1.0,100.0,À Vendre,90000.0,2,83
Appartements,3.0,2.0,140.0,À Vendre,290000.0,2,16
Appartements,4.0,2.0,170.0,À Vendre,295000.0,2,31
Appartements,3.0,1.0,76.0,À Vendre,120000.0,2,72
Appartements,3.0,1.0,160.0,À Vendre,310000.0,2,31
Appartements,4.0,1.0,130.0,À Vendre,95000.0,2,83
Appartements,2.0,2.0,100.0,À Vendre,310000.0,2,16
Appartements,2.0,1.0,72.0,À Vendre,160000.0,2,78
Appartements,3.0,1.0,110.0,À Vendre,220000.0,2,83
