,Unnamed: 0.1,Unnamed: 0,surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
0,0,0,141.0,20,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,490000.0
1,1,1,100.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,380000.0
2,2,2,130.0,71,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,180000.0
3,3,3,120.0,8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0
4,4,4,148.0,30,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,365000.0
5,5,5,180.0,32,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.0
6,6,6,70.0,32,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185000.0
7,7,7,70.0,8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0
8,8,8,103.0,8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,250000.0
9,9,9,152.0,49,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,375000.0
10,10,10,77.0,50,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,215000.0
11,11,11,90.0,16,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255000.0
12,12,12,117.0,21,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
13,13,13,75.0,21,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
14,14,14,208.0,4,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,650000.0
15,15,15,122.0,62,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,270000.0
16,16,16,54.0,72,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,120000.0
17,17,17,167.0,32,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,325000.0
18,18,18,199.0,5,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,700000.0
19,19,19,63.25,49,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,241566.0
20,20,20,104.0,32,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,316000.0
21,21,21,125.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,275000.0
22,22,22,95.0,88,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143000.0
23,23,23,61.0,11,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,256457.0
24,24,24,74.0,11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,304607.0
25,25,25,86.0,42,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220000.0
26,26,26,160.0,30,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,345000.0
27,27,27,100.0,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,380000.0
28,28,28,160.0,12,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,450000.0
29,29,29,98.0,32,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148000.0
30,30,30,100.0,21,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,330000.0
31,31,31,100.0,44,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,310000.0
32,32,32,140.0,16,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,350000.0
33,33,33,144.0,13,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,550000.0
