,Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
0,tunis,sidi el bechir,Sidi El Bechir,Sale,2-room apartment,70.0,120000.0,06/10/2023
1,tunis,marsa,La Marsa,Sale,3-room apartment,130.0,277000.0,23/10/2023
2,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,111.0,195000.0,09/11/2023
3,tunis,ettahrir,Ettahrir,Sale,5-room apartment and more,150.0,268000.0,13/11/2023
4,tunis,marsa,La Marsa,Sale,3-room apartment,134.0,340000.0,08/11/2023
5,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,3-room apartment,100.0,125000.0,15/11/2023
6,tunis,marsa,La Marsa,Sale,3-room apartment,167.0,467000.0,23/05/2023
7,manouba,mannouba,Mannouba,Sale,2-room apartment,95.0,170000.0,04/09/2023
8,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,138.0,555000.0,14/11/2023
9,ariana,raoued,Raoued,Sale,3-room apartment,108.0,240000.0,07/09/2023
10,ariana,raoued,Raoued,Sale,3-room apartment,70.0,130000.0,08/11/2023
11,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,145.0,450000.0,12/11/2023
12,tunis,cite el khadra,Cite El Khadra,Sale,2-room apartment,50.0,170000.0,20/09/2023
13,tunis,marsa,La Marsa,Sale,2-room apartment,95.0,395000.0,18/10/2023
14,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,89.0,310000.0,15/11/2023
15,tunis,marsa,La Marsa,Sale,4-room apartment,161.0,495000.0,12/10/2023
16,manouba,mannouba,Mannouba,Sale,3-room apartment,90.0,165000.0,04/12/2023
17,tunis,la goulette,La Goulette,Sale,3-room apartment,170.0,680000.0,20/02/2023
18,tunis,medina jedida,La Medina,Sale,4-room apartment,145.0,200000.0,27/10/2023
19,ariana,soukra,La Soukra,Sale,3-room apartment,124.0,250000.0,02/12/2023
20,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,57.0,170000.0,21/06/2023
21,ben arous,ezzahra,Ezzahra,Sale,4-room apartment,175.0,470000.0,03/11/2023
22,tunis,cite el khadra,Cite El Khadra,Sale,3-room apartment,80.0,140000.0,05/05/2023
23,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,39.0,170000.0,06/11/2023
24,ben arous,hammam lif,Hammam Lif,Sale,3-room apartment,120.0,200000.0,16/03/2023
25,tunis,marsa,La Marsa,Sale,2-room apartment,121.0,300000.0,08/06/2023
26,tunis,ettahrir,Ettahrir,Sale,2-room apartment,75.0,84000.0,23/09/2023
27,ben arous,ben arous,Ben Arous,Sale,1-room apartment,30.0,50000.0,29/11/2023
28,ariana,mnihla,Mnihla,Sale,3-room apartment,130.0,390000.0,07/11/2023
29,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,148.0,360000.0,17/10/2023
30,ariana,soukra,La Soukra,Sale,4-room apartment,150.0,350000.0,24/10/2023
31,ariana,soukra,La Soukra,Sale,4-room apartment,157.0,530000.0,11/11/2023
32,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,260.0,650000.0,27/10/2023
33,tunis,marsa,La Marsa,Sale,2-room apartment,105.0,160000.0,19/11/2023
34,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,180.0,390000.0,17/10/2023
35,tunis,marsa,La Marsa,Sale,1-room apartment,73.0,190000.0,05/12/2023
36,ariana,mnihla,Mnihla,Sale,2-room apartment,140.0,240000.0,23/10/2023
37,tunis,menzah,El Menzah,Sale,5-room apartment and more,135.0,330000.0,15/11/2023
38,ben arous,rades,Rades,Sale,3-room apartment,80.0,135000.0,04/10/2023
39,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,86.0,187000.0,31/10/2023
40,ben arous,ben arous,Ben Arous,Sale,3-room apartment,80.0,87000.0,17/10/2023
41,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,124.0,275000.0,06/12/2023
42,ariana,raoued,Raoued,Sale,2-room apartment,110.0,130000.0,17/11/2023
43,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,267.0,1250000.0,28/02/2023
44,tunis,menzah,El Menzah,Sale,5-room apartment and more,500.0,1800000.0,19/10/2023
45,tunis,marsa,La Marsa,Sale,3-room apartment,115.0,220000.0,02/11/2023
46,ben arous,hammam chott,Hammam Chatt,Sale,5-room apartment and more,110.0,280000.0,28/07/2023
47,tunis,menzah,El Menzah,Sale,2-room apartment,100.0,175000.0,27/10/2023
48,ariana,raoued,Raoued,Sale,4-room apartment,135.0,270000.0,17/11/2023
49,tunis,marsa,La Marsa,Sale,4-room apartment,123.0,360000.0,21/08/2023
50,tunis,marsa,La Marsa,Sale,2-room apartment,92.0,155000.0,12/07/2023
51,tunis,marsa,La Marsa,Sale,1-room apartment,42.0,155000.0,24/08/2023
52,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,132.0,315000.0,02/08/2023
53,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,173.0,700000.0,29/09/2023
54,ariana,soukra,La Soukra,Sale,3-room apartment,240.0,810000.0,04/12/2023
55,tunis,menzah,El Menzah,Sale,4-room apartment,134.0,270000.0,06/12/2023
56,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,90.0,195000.0,29/08/2023
57,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,58.0,185000.0,08/10/2023
58,tunis,ain zaghouan,Ain Zaghouan,Sale,5-room apartment and more,214.0,760000.0,30/10/2023
59,ariana,soukra,La Soukra,Sale,4-room apartment,165.0,298000.0,26/05/2022
60,tunis,menzah,El Menzah,Sale,2-room apartment,60.0,165000.0,21/10/2023
61,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,120.0,240000.0,12/10/2023
62,tunis,ouerdia,El Ouerdia,Sale,4-room apartment,130.0,195000.0,21/09/2023
63,tunis,ettahrir,Ettahrir,Sale,3-room apartment,75.0,200000.0,28/10/2023
64,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,102.0,299000.0,15/10/2023
67,tunis,omrane superieur,El Omrane Superieur,Sale,3-room apartment,80.0,200000.0,02/10/2023
68,tunis,marsa,La Marsa,Sale,4-room apartment,179.0,398000.0,26/11/2023
69,tunis,bardo,Le Bardo,Sale,2-room apartment,45.0,130000.0,24/11/2023
70,ben arous,hammam lif,Hammam Lif,Sale,5-room apartment and more,120.0,165000.0,04/06/2023
71,ariana,soukra,La Soukra,Sale,2-room apartment,95.0,210000.0,08/11/2023
72,ariana,ariana ville,Ariana Ville,Sale,5-room apartment and more,177.0,430000.0,10/10/2023
73,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,57.0,130000.0,16/09/2023
74,tunis,marsa,La Marsa,Sale,2-room apartment,109.0,240000.0,08/09/2023
75,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,127.0,310000.0,23/10/2023
76,tunis,marsa,La Marsa,Sale,3-room apartment,90.0,450000.0,19/04/2023
77,tunis,omrane superieur,El Omrane Superieur,Sale,4-room apartment,120.0,150000.0,06/08/2023
78,ben arous,mourouj,El Mourouj,Sale,3-room apartment,75.0,120000.0,16/11/2023
79,tunis,bardo,Le Bardo,Sale,4-room apartment,140.0,220000.0,22/09/2023
80,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,120.0,210000.0,18/09/2023
81,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,165.0,420000.0,12/08/2022
82,tunis,bardo,Le Bardo,Sale,5-room apartment and more,338.0,550000.0,20/11/2023
83,ariana,soukra,La Soukra,Sale,3-room apartment,220.0,420000.0,26/04/2023
84,ben arous,ben arous,Ben Arous,Sale,3-room apartment,148.0,341000.0,08/09/2023
85,tunis,bab bhar,Bab Bhar,Sale,3-room apartment,80.0,130000.0,08/07/2023
86,tunis,ain zaghouan,Ain Zaghouan,Sale,4-room apartment,180.0,495000.0,17/01/2023
87,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,88.0,190000.0,07/07/2023
88,ben arous,ben arous,Ben Arous,Sale,3-room apartment,78.0,160000.0,16/11/2023
89,ben arous,boumhel el bassatine,Bou Mhel El Bassatine,Sale,5-room apartment and more,153.0,260000.0,28/10/2022
90,tunis,bab bhar,Bab Bhar,Sale,2-room apartment,45.0,130000.0,11/01/2023
91,ariana,soukra,La Soukra,Sale,3-room apartment,80.0,130000.0,26/08/2023
92,tunis,menzah,El Menzah,Sale,3-room apartment,120.0,240000.0,05/12/2023
93,tunis,sidi el bechir,Sidi El Bechir,Sale,2-room apartment,58.0,170000.0,16/11/2023
94,tunis,la goulette,La Goulette,Sale,4-room apartment,110.0,370000.0,07/02/2023
95,tunis,marsa,La Marsa,Sale,5-room apartment and more,179.0,650000.0,07/11/2023
96,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,130.0,375000.0,14/02/2023
97,tunis,sidi el bechir,Sidi El Bechir,Sale,5-room apartment and more,105.0,180000.0,03/12/2023
98,tunis,ain zaghouan,Ain Zaghouan,Sale,2-room apartment,145.0,450000.0,13/11/2023
99,ariana,soukra,La Soukra,Sale,3-room apartment,320.0,1250000.0,30/11/2023
100,tunis,marsa,La Marsa,Sale,1-room apartment,65.0,270000.0,01/09/2023
101,tunis,bab bhar,Bab Bhar,Sale,4-room apartment,120.0,200000.0,20/10/2023
102,tunis,marsa,La Marsa,Sale,4-room apartment,140.0,350000.0,22/11/2023
103,ariana,soukra,La Soukra,Sale,4-room apartment,125.0,255000.0,06/10/2023
104,ben arous,hammam lif,Hammam Lif,Sale,4-room apartment,302.0,530000.0,11/10/2023
105,ben arous,mourouj,El Mourouj,Sale,3-room apartment,70.0,115000.0,03/10/2023
106,ariana,soukra,La Soukra,Sale,2-room apartment,44.0,222000.0,20/09/2023
107,tunis,la goulette,La Goulette,Sale,3-room apartment,78.0,210000.0,06/05/2023
108,tunis,marsa,La Marsa,Sale,2-room apartment,84.0,220000.0,13/11/2023
109,tunis,sidi el bechir,Sidi El Bechir,Sale,2-room apartment,75.0,95000.0,07/11/2023
110,tunis,ettahrir,Ettahrir,Sale,3-room apartment,110.0,210000.0,26/11/2023
111,tunis,ain zaghouan,Ain Zaghouan,Sale,3-room apartment,134.0,280000.0,24/11/2023
112,tunis,bab bhar,Bab Bhar,Sale,5-room apartment and more,120.0,220000.0,20/05/2023
113,ariana,ariana ville,Ariana Ville,Sale,4-room apartment,343.0,910000.0,29/11/2023
114,tunis,marsa,La Marsa,Sale,2-room apartment,65.0,220000.0,24/11/2023
115,ariana,soukra,La Soukra,Sale,3-room apartment,104.0,400000.0,10/10/2023
116,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,67.0,120000.0,18/09/2023
117,ariana,ariana ville,Ariana Ville,Sale,2-room apartment,125.0,330000.0,13/10/2023
118,ariana,soukra,La Soukra,Sale,3-room apartment,80.0,135000.0,09/11/2023
119,ariana,ariana ville,Ariana Ville,Sale,3-room apartment,100.0,260000.0,24/03/2023
120,tunis,ain zaghouan,Ain Zaghouan,Sale,1-room apartment,47.0,167000.0,03/11/2023
121,ariana,soukra,La Soukra,Sale,4-room apartment,162.0,595000.0,23/11/2023
122,manouba,mannouba,Mannouba,Sale,2-room apartment,47.0,112000.0,13/11/2023
