Locality,Surface,Price,rooms,bathrooms
Sidi El Bechir,70.0,120000.0,2.0,1
La Marsa,130.0,277000.0,3.0,2
Ariana Ville,111.0,195000.0,2.0,2
Ettahrir,150.0,268000.0,3.0,3
La Marsa,134.0,340000.0,3.0,2
Bou Mhel El Bassatine,100.0,125000.0,3.0,2
La Marsa,167.0,467000.0,3.0,3
Mannouba,95.0,170000.0,2.0,1
Ain Zaghouan,138.0,555000.0,3.0,2
Raoued,108.0,240000.0,3.0,2
Raoued,70.0,130000.0,2.0,1
Ain Zaghouan,145.0,450000.0,2.0,2
Cite El Khadra,50.0,170000.0,1.0,1
La Marsa,95.0,395000.0,2.0,1
Ariana Ville,89.0,310000.0,2.0,1
La Marsa,161.0,495000.0,3.0,3
Mannouba,90.0,165000.0,2.0,1
La Goulette,170.0,680000.0,3.0,3
La Medina,145.0,200000.0,3.0,2
La Soukra,124.0,250000.0,3.0,2
Bab Bhar,57.0,170000.0,1.0,1
Ezzahra,175.0,470000.0,4.0,3
Cite El Khadra,80.0,140000.0,2.0,1
Ariana Ville,39.0,170000.0,1.0,1
Hammam Lif,120.0,200000.0,3.0,2
La Marsa,121.0,300000.0,2.0,2
Ettahrir,75.0,84000.0,2.0,1
Ben Arous,30.0,50000.0,1.0,1
Mnihla,130.0,390000.0,3.0,2
Ain Zaghouan,148.0,360000.0,3.0,2
La Soukra,150.0,350000.0,3.0,3
La Soukra,157.0,530000.0,3.0,3
La Marsa,105.0,160000.0,2.0,2
Ariana Ville,180.0,390000.0,4.0,3
La Marsa,73.0,190000.0,2.0,1
Mnihla,140.0,240000.0,2.0,2
El Menzah,135.0,330000.0,3.0,2
Rades,80.0,135000.0,2.0,1
Ariana Ville,86.0,187000.0,2.0,1
Ben Arous,80.0,87000.0,2.0,1
Ain Zaghouan,124.0,275000.0,3.0,2
Raoued,110.0,130000.0,2.0,2
La Marsa,115.0,220000.0,3.0,2
Hammam Chatt,110.0,280000.0,3.0,2
El Menzah,100.0,175000.0,2.0,1
Raoued,135.0,270000.0,3.0,2
La Marsa,123.0,360000.0,3.0,2
La Marsa,92.0,155000.0,2.0,1
La Marsa,42.0,155000.0,1.0,1
Ain Zaghouan,132.0,315000.0,3.0,2
Ain Zaghouan,173.0,700000.0,3.0,3
El Menzah,134.0,270000.0,3.0,2
Ariana Ville,90.0,195000.0,2.0,1
Ariana Ville,58.0,185000.0,1.0,1
La Soukra,165.0,298000.0,3.0,3
El Menzah,60.0,165000.0,1.0,1
Ain Zaghouan,120.0,240000.0,2.0,2
El Ouerdia,130.0,195000.0,3.0,2
Ettahrir,75.0,200000.0,2.0,1
Ain Zaghouan,102.0,299000.0,3.0,2
El Omrane Superieur,80.0,200000.0,2.0,1
La Marsa,179.0,398000.0,4.0,3
Le Bardo,45.0,130000.0,1.0,1
Hammam Lif,120.0,165000.0,3.0,2
La Soukra,95.0,210000.0,2.0,1
Ariana Ville,177.0,430000.0,4.0,3
Ariana Ville,57.0,130000.0,1.0,1
La Marsa,109.0,240000.0,2.0,2
Ain Zaghouan,127.0,310000.0,3.0,2
La Marsa,90.0,450000.0,2.0,1
El Omrane Superieur,120.0,150000.0,3.0,2
El Mourouj,75.0,120000.0,2.0,1
Le Bardo,140.0,220000.0,3.0,2
Bab Bhar,120.0,210000.0,3.0,2
Ariana Ville,165.0,420000.0,3.0,3
Ben Arous,148.0,341000.0,3.0,2
Bab Bhar,80.0,130000.0,2.0,1
Ain Zaghouan,180.0,495000.0,4.0,3
Ariana Ville,88.0,190000.0,2.0,1
Ben Arous,78.0,160000.0,2.0,1
Bou Mhel El Bassatine,153.0,260000.0,3.0,3
Bab Bhar,45.0,130000.0,1.0,1
La Soukra,80.0,130000.0,2.0,1
El Menzah,120.0,240000.0,3.0,2
Sidi El Bechir,58.0,170000.0,1.0,1
La Goulette,110.0,370000.0,3.0,2
La Marsa,179.0,650000.0,4.0,3
Bab Bhar,130.0,375000.0,3.0,2
Sidi El Bechir,105.0,180000.0,3.0,2
Ain Zaghouan,145.0,450000.0,2.0,2
La Marsa,65.0,270000.0,1.0,1
Bab Bhar,120.0,200000.0,3.0,2
La Marsa,140.0,350000.0,3.0,2
La Soukra,125.0,255000.0,3.0,2
El Mourouj,70.0,115000.0,2.0,1
La Soukra,44.0,222000.0,1.0,1
La Goulette,78.0,210000.0,2.0,1
La Marsa,84.0,220000.0,2.0,1
Sidi El Bechir,75.0,95000.0,2.0,1
