Gouvernorat,Price,rooms,Localisation,Description
Tunis,290000.0,4.0,El Aouina,"ref.120a vendre un appartement s+3 d'une superficie de 131 m² au 4éme étage avec doubles ascenseurs dans une résidence bien sécurisée à cite wahat . il se compose dun salon avec balcon, une cuisine bien équipé avec plaque, et séchoir, deux chambres à coucher avec dressings plus une suite parentale avec douche et une salle de bain.lappartement est installé dun chauffage central et climatiseur.une place de parking aux sous sol et un cellier .pour plus d'information merci de contacter nous au 52154007 53154062 ."
Tunis,245000.0,1.0,Ain Zaghouan,"la croisette immobilière tunisie vous propose à la vente un appartement s+1  situé dans une résidence gardée située à ain zaghouan.ce dernier fait 70.5 mètres carrés et se compose d'un salon-salle à manger donnant sur un balcon, d'une cuisine aménagée et équipée attenante à un séchoir, d'une chambre à coucher avec dressing et d'une salle d'eau avec douche.l'appartement est équipé du chauffage central et de climatiseurs.réf:mav1794"
Tunis,340000.0,3.0,El Aouina,"fb.7284contacter notre conseiller en immobilier au : 53672333/ 56096179 / 70727279a vendre un appartement s+3 dune surface égale à 134 m2 au 5éme étage dans une résidence avec double ascenseur, lappartement haut standing compose dun salon, trois chambres à coucher avec dressing, une cuisine bien équipé avec les éléments de rangement, plaque, hotte et four .chaque chambre dispose dun climatisation et chauffage central."
Tunis,320000.0,3.0,El Aouina,"bonne affaire a ne pas rater a vendre appartement a l'aouina dans une résidence trés calme r+2 au 2éme étage se compose de : salon salle à manger avec balcon ,3 chambres à coucher,2 dressings ,salle de bain +salle deau , cuisine,séchoir ,chauffage central ,place parking au sou sol + célier.supérficie :124 m²titre bleuprix : 320 mdnous serons là pour vous aider à faire le bon choix.quel que soit votre budget nous ferons de notre mieux pour vous servir .pour plus d'information veuillez contacterl'agence tunital immobilière(+216)22704893 (whatsapp ) (+216) 71983000les visites sur rendez-vous svp"
Tunis,185000.0,4.0,El Ouerdia,"immobilière al-amal vous prpose un appartement  à vendre propre et spacieux à montfleury ,à 5 minutes en métro tout proche de tunisproche de tous les commodités.vocation  r+2résidence gardée cloturée avec caméra ( syndic)place de parking privéesitué au premier étagesuperficie : 120 m².détails :chambre complète + grand balcon3 chambres avec dressingcuisine + grande séchoirsalle de bain , salle d'eautitre  de propriété individuel .pour plus d'informations, contactez-nous :téléphone : 55018945/24430263whatsapp : 0021655018945"
Tunis,280000.0,3.0,El Aouina,"fb.6460contacter notre conseillère en immobilière au 50362627/56096179 / 70727279.a vendre un appartement s+2 au 5 ème étage avec ascenseur dans une résidence bien gardée et sécurisée à cité el wahat derrière monoprix près de toutes commodités.lappartement est composé dun salon, cuisine, deux chambres à coucher plus salle de bain.lappartement est installé dun chauffage centrale,3 climatiseurs plus place de parking sous sol."
Tunis,160000.0,3.0,Bab Bhar,"un appartement s+2 de 62 m² de superficie au  réez de chaussée  sur une artère principale , transformable pour usage commercial.prix 160 mdpour plus d'informations et de photos veuillez visiter notre page facebook l'intégrale immo ou contactez le 70 215 880 / 52 145 909 / 21 001 320"
Tunis,460000.0,3.0,El Menzah 9,"- on met à la vente un appartement s+2 neuf haut standing d'une superficie totale de 184m² dont 52m² de jardin situé au rez-de-chaussée d'une résidence calme et sécurisée à menzah 9c.- son orientation est optimale. il est très lumineux et ensoleillé.- le bloc jour se compose d'un salon-salle à manger avec une terrasse et d'une cuisine agencée et équipée (plaque, hotte, four) qui ouvre sur le jardin.- le bloc nuit se compose d'une chambre à coucher avec dressing, d'une salle de bain et d'une suite parentale avec dressing et salle d'eau avec une douche à l'italienne.- chauffage central, climatisation en split dans chaque pièces et une place de parking au sous-sol sont à la disposition.- résidence avec une piscine chauffée et salle de sport privée pour les résidents.pour plus d'information veuillez contacter votre conseiller sur le 58 668 568 / 71 232 911 - agence jackpot immo."
Tunis,253000.0,3.0,Ain Zaghouan,"a vendre un s plus deux d'une superficie de 69m2  situé dans une nouvelle résidence récemment construite équipée de deux ascenseurs et des caméras de surveillance à l'aouina cité les palmeraies tunisl'appartement est composé d'un salon donnant sur un balcon , d'une kitchenette équipée d'une hotte aspirante , d'une plaque à gaz et d'un four électrique , de deux chambres à coucher dont une avec un balcon et d'une salle de douche avec paroi en verre.l'appartement est équipé d'un chauffage central et d'un climatiseuragence immobilière hannibal immob"
Tunis,395000.0,1.0,Ain Zaghouan,"la croisette immobilière tunisie vous propose à la vente un appartement s+1 occupant le deuxième étage d'une résidence gardée à ain zaghouan nord.ce dernier fait 85 mètres carrés et se compose d'un salon donnant sur un balcon, d'une cuisine ouverte aménagée et équipée et d'une suite.l'appartement est équipé du chauffage central et de climatiseurs et dispose d'une place de parking au sous-sol.réf:mav1790"
Tunis,320000.0,2.0,Jardins de Carthage,"babylone immobilière vous propose à la vente un appartement en s+1 bien situé aux jardins de carthage ,d'une superficie 70.4 m²composé comme suit :un salon , une cuisine équipée , une chambre à coucher et une salle de bain .l'appartement est chauffé et climatisé .référence 112a."
Tunis,175000.0,2.0,El Aouina,"fb.7136contacter notre conseillère en immobilière au 50362627 / 56096179 / 70727279.a vendre un appartement s+1 au rdc avec meuble dans une résidence bien gardée et sécurisée à cité el wahat derrière monoprix à proximités toutes les commoditès.il se compose dun salon, kitchenette bien équipée avec les éléments ( plaque, hotte, four ), une chambre à coucher plus salle de douche avec cabine.lappartement est installé dun chauffage centrale et un climatiseur plus place de parking sous sol."
Tunis,250000.0,1.0,Ain Zaghouan,"immoliv vous propose à la vente un appartement s+0 moderne pour un style de vie contemporain direct promoteur d'une superficie de 43m² au 2éme étage d'une résidence gardée et sécurisée situé dans un emplacement stratégique à ain zaghouan nord.cet appartement contient une grande pièce de vie lumineuse avec un balcon privatif , une kitchenette équipée et une salle de douche.ce projet immobilier est doté d'une piscine commune, une salle de sport , un patio composé dun grand jardin et une aire de jeux.merci de nous contacter au 25538653"
Tunis,390000.0,3.0,El Aouina,"fb.6695contacter notre conseiller en immobilier au 51004658 / 56096179 / 70727279a vendre un appartement s+3 au 2éme étagede haut standing avec double ascenseurs à cité el wahat. lappartement compose dun grand salon avec balcon, une cuisine bien équipée avec plaque hotte four et éléments de rangement, un salle deau, deux chambres à coucher avec dressing partagent une salle de bain et un suite parentale. lappartement est équipé dun chauffage central et climatiseurs. le prix y compris une place parking sous sol .agence immobilière ari"
Tunis,550000.0,3.0,El Aouina,"l'aouina a vendre appartement au rez de chaussé haut standing dans une résidense r+2 composé de : salon salle a manger , 3 chambres a coucher , cuisine bien équippé avec shéchoir , salle de bain ,salle d'eau ,chauffage central , 5 climatiseurs splite, jardin , place parking au sous sol .superficie : 145m²jardin : 49 m²superficie total : 194 m²titre bleu : individuelleprix : 620 mdnous serons là pour vous aider à faire le bon choix.quel que soit votre budget nous ferons de notre mieux pour vous servir .pour plus d'information veuillez contacterl'agence tunital immobilière(+216) 22704893 (whatsapp)(+216) 71983000les visites sur rendez-vous svp"
Tunis,285000.0,3.0,El Aouina,"a vendre un bel appartement composé de deux chambres à coucher, deux grands dressings une salle de bain,  un salon  lumineux , une kitchenette aménagée et équipée et un balcon. au 3 éme étage avec double ascenseur. veuillez contacter 53772325"
Tunis,408000.0,4.0,Ain Zaghouan,"agence immobilière immoliv vous propose à la vente un appartement s+3 neuf direct promoteur situé d'une résidence gardée et sécurisée à ain zaghouan.l'appartement se compose dun salon et une salle à manger avec un balcon, une cuisine équipée avec un séchoir, une salle deau invités, une suite parentale avec dressing et salle de douche, deux chambres à coucher dont une avec dressing et une salle de bain commune.il est équipé du chauffage central et de la climatisation en split dans le salon et la suite parentale.il dispose d'un autre appartement s+3 d'une superficie de 152m² situé au 6ème étage à 412000dt.le prix d'une place de parking au sous-sol est à 18000dt.merci de nous contacter au 25.538.653"
Ariana,140000.0,4.0,Borj Louzir,"en exclusivité chez immobilière jouini ,découvrez cet appartement charmant de type s+3, situé au troisième étage dans une résidence gardée et sécuriséesans ascenseur. idéalement placé à borj louzir, ariana, il est facilement accessible et se trouve à proximité de toutes les commodités essentielles : à seulement 10 minutes de laéroport et carrefour el marsa , à deux pas dariana el soghra et à 5 minutes de chotrana la soukracomposition:salon avec balcon3 chambres à couchercuisine avec séchoir et placard pour rangementsalle de bainplace de parking disponibletitre foncier individuelsuperficie totale : 95 m²prix demandé = 140 000 dtcontactez-nous (+216) 55392444 / (+216) 28283777(disponibles sur whatsapp pour les résidents à l'étranger)"
